time_s,latency_ns,mismatch
0.000420654,1416.000,0
0.000422046,1392.000,0
0.000423420,1374.000,0
0.000424800,1380.000,0
0.000426222,1422.000,0
0.000427590,1368.000,0
0.000429030,1440.000,0
0.000430476,1446.000,0
0.000431886,1410.000,0
0.000433290,1404.000,0
0.000434688,1398.000,0
0.000436116,1428.000,0
0.000437508,1392.000,0
0.000438912,1404.000,0
0.000440322,1410.000,0
0.000441708,1386.000,0
0.000443106,1398.000,0
0.000444558,1452.000,0
0.000446022,1464.000,0
0.000447390,1368.000,0
0.000448788,1398.000,0
0.000450204,1416.000,0
0.000451614,1410.000,0
0.000453006,1392.000,0
0.000454440,1434.000,0
0.000455868,1428.000,0
0.000457320,1452.000,0
0.000458724,1404.000,0
0.000460116,1392.000,0
0.000461520,1404.000,0
0.000462918,1398.000,0
0.000464370,1452.000,0
0.000465786,1416.000,0
0.000467190,1404.000,0
0.000468594,1404.000,0
0.000470004,1410.000,0
0.000471438,1434.000,0
0.000472842,1404.000,0
0.000474294,1452.000,0
0.000475740,1446.000,0
0.000477132,1392.000,0
0.000478572,1440.000,0
0.000479988,1416.000,0
0.000481356,1368.000,0
0.000482730,1374.000,0
0.000484170,1440.000,0
0.000485562,1392.000,0
0.000486966,1404.000,0
0.000488358,1392.000,0
0.000489726,1368.000,0
0.000491124,1398.000,0
0.000492576,1452.000,0
0.000493944,1368.000,0
0.000495354,1410.000,0
0.000496764,1410.000,0
0.000498210,1446.000,0
0.000499650,1440.000,0
0.000501042,1392.000,0
0.000502452,1410.000,0
0.000503856,1404.000,0
0.000505266,1410.000,0
0.000506676,1410.000,0
0.000508104,1428.000,0
0.000509520,1416.000,0
0.000510924,1404.000,0
0.000512340,1416.000,0
0.000513744,1404.000,0
0.000515136,1392.000,0
0.000516558,1422.000,0
0.000517956,1398.000,0
0.000519378,1422.000,0
0.000520764,1386.000,0
0.000522138,1374.000,0
0.000523506,1368.000,0
0.000524874,1368.000,0
0.000526242,1368.000,0
0.000527670,1428.000,0
0.000529062,1392.000,0
0.000530436,1374.000,0
0.000531840,1404.000,0
0.000533244,1404.000,0
0.000534636,1392.000,0
0.000536040,1404.000,0
0.000537462,1422.000,0
0.000538908,1446.000,0
0.000540822,1914.000,0
0.000542214,1392.000,0
0.000543612,1398.000,0
0.000545022,1410.000,0
0.000546396,1374.000,0
0.000547800,1404.000,0
0.000549192,1392.000,0
0.000550560,1368.000,0
0.000551952,1392.000,0
0.000553392,1440.000,0
0.000554784,1392.000,0
0.000556236,1452.000,0
0.000557682,1446.000,0
0.000559116,1434.000,0
0.000560508,1392.000,0
0.000561906,1398.000,0
0.000563298,1392.000,0
0.000564738,1440.000,0
0.000566148,1410.000,0
0.000567582,1434.000,0
0.000568998,1416.000,0
0.000570390,1392.000,0
0.000571794,1404.000,0
0.000573198,1404.000,0
0.000574590,1392.000,0
0.000575994,1404.000,0
0.000577398,1404.000,0
0.000578802,1404.000,0
0.000580218,1416.000,0
0.000581610,1392.000,0
0.000583014,1404.000,0
0.000584430,1416.000,0
0.000585858,1428.000,0
0.000587250,1392.000,0
0.000588654,1404.000,0
0.000590058,1404.000,0
0.000591468,1410.000,0
0.000592926,1458.000,0
0.000594294,1368.000,0
0.000595722,1428.000,0
0.000597090,1368.000,0
0.000598464,1374.000,0
0.000599880,1416.000,0
0.000601248,1368.000,0
0.000602628,1380.000,0
0.000604008,1380.000,0
0.000605406,1398.000,0
0.000606780,1374.000,0
0.000608184,1404.000,0
0.000609570,1386.000,0
0.000610968,1398.000,0
0.000612360,1392.000,0
0.000613734,1374.000,0
0.000615180,1446.000,0
0.000616602,1422.000,0
0.000617988,1386.000,0
0.000619356,1368.000,0
0.000620772,1416.000,0
0.000622188,1416.000,0
0.000623640,1452.000,0
0.000625080,1440.000,0
0.000626514,1434.000,0
