campaign,run,time_h,avg_ns,elapsed_s,mismatches
B_idle_5h,293,4.911869681,335.293,60.352793,0
B_idle_5h,294,4.928632913,335.265,60.347635,0
B_idle_5h,295,4.945397150,335.285,60.351254,0
B_idle_5h,296,4.962161141,335.280,60.350367,0
B_idle_5h,297,4.978924377,335.265,60.347650,0
B_idle_5h,298,4.995688770,335.288,60.351817,0
B_idle_5h,299,5.012451850,335.262,60.347085,0
B_idle_5h,300,5.029217298,335.309,60.355613,0
C_cpu_1core_1h,1,0.016761025,335.220,60.339690,0
C_cpu_1core_1h,2,0.033522071,335.221,60.339767,0
C_cpu_1core_1h,3,0.050283006,335.219,60.339364,0
C_cpu_1core_1h,4,0.067043712,335.214,60.338543,0
C_cpu_1core_1h,5,0.083804534,335.216,60.338957,0
C_cpu_1core_1h,6,0.100566487,335.239,60.343030,0
C_cpu_1core_1h,7,0.117327568,335.222,60.339893,0
C_cpu_1core_1h,8,0.134091151,335.272,60.348897,0
C_cpu_1core_1h,9,0.150853424,335.245,60.344184,0
C_cpu_1core_1h,10,0.167614649,335.224,60.340409,0
C_cpu_1core_1h,11,0.184375456,335.216,60.338908,0
C_cpu_1core_1h,12,0.201136936,335.230,60.341327,0
C_cpu_1core_1h,13,0.217897476,335.211,60.337945,0
C_cpu_1core_1h,14,0.234660979,335.270,60.348610,0
C_cpu_1core_1h,15,0.251422056,335.222,60.339876,0
C_cpu_1core_1h,16,0.268183464,335.228,60.341070,0
C_cpu_1core_1h,17,0.284945362,335.238,60.342834,0
C_cpu_1core_1h,18,0.301706004,335.213,60.338312,0
C_cpu_1core_1h,19,0.318467484,335.230,60.341326,0
C_cpu_1core_1h,20,0.335228496,335.220,60.339643,0
C_cpu_1core_1h,21,0.351989229,335.215,60.338640,0
C_cpu_1core_1h,22,0.368752990,335.275,60.349539,0
C_cpu_1core_1h,23,0.385514450,335.229,60.341257,0
C_cpu_1core_1h,24,0.402275835,335.228,60.340984,0
C_cpu_1core_1h,25,0.419037535,335.234,60.342121,0
C_cpu_1core_1h,26,0.435798198,335.213,60.338386,0
C_cpu_1core_1h,27,0.452560842,335.253,60.345521,0
C_cpu_1core_1h,28,0.469321985,335.223,60.340112,0
C_cpu_1core_1h,29,0.486084011,335.241,60.343295,0
C_cpu_1core_1h,30,0.502845769,335.235,60.342328,0
C_cpu_1core_1h,31,0.519607319,335.231,60.341583,0
C_cpu_1core_1h,32,0.536368486,335.223,60.340200,0
C_cpu_1core_1h,33,0.553131080,335.252,60.345336,0
C_cpu_1core_1h,34,0.569890946,335.197,60.335520,0
C_cpu_1core_1h,35,0.586652008,335.221,60.339824,0
C_cpu_1core_1h,36,0.603414576,335.251,60.345244,0
C_cpu_1core_1h,37,0.620176016,335.229,60.341183,0
C_cpu_1core_1h,38,0.636937999,335.240,60.343141,0
C_cpu_1core_1h,39,0.653698906,335.218,60.339263,0
C_cpu_1core_1h,40,0.670459349,335.209,60.337597,0
C_cpu_1core_1h,41,0.687221894,335.251,60.345161,0
C_cpu_1core_1h,42,0.703984587,335.254,60.345695,0
C_cpu_1core_1h,43,0.720746910,335.246,60.344364,0
C_cpu_1core_1h,44,0.737508221,335.226,60.340718,0
C_cpu_1core_1h,45,0.754269184,335.219,60.339466,0
C_cpu_1core_1h,46,0.771031605,335.248,60.344717,0
C_cpu_1core_1h,47,0.787792996,335.228,60.341006,0
C_cpu_1core_1h,48,0.804553836,335.217,60.339025,0
C_cpu_1core_1h,49,0.821315855,335.240,60.343267,0
C_cpu_1core_1h,50,0.838077754,335.238,60.342838,0
C_cpu_1core_1h,51,0.854840472,335.254,60.345784,0
C_cpu_1core_1h,52,0.871600374,335.198,60.335649,0
C_cpu_1core_1h,53,0.888362521,335.243,60.343728,0
